chunckID,start_time,pos,tag
342,00:26:38.805,"[['그/VA', 'ㄴ데/ECE'], ['삼촌/NNG']]","[['VA', 'ECE'], ['NNG']]"
343,00:26:40.348,"[['왜/MAG'], ['자꾸/MAG'], ['우리/NP'], ['할아버지/NNG', '한테/JKO'], ['반말/NNG', '하/XSV', '어/ECS', '?/SF']]","[['MAG'], ['MAG'], ['NP'], ['NNG', 'JKO'], ['NNG', 'XSV', 'ECS', 'SF']]"
344,00:26:43.351,"[['죽/VV', '을래/EFN', '?/SF']]","[['VV', 'EFN', 'SF']]"
345,00:26:44.436,"[['(/SS'], ['유/NNG'], ['회장/NNG', ')/SS'], ['이놈/NP', '아/JKI', '!/SF']]","[['SS'], ['NNG'], ['NNG', 'SS'], ['NP', 'JKI', 'SF']]"
346,00:26:45.520,"[['[/SS'], ['김신이/NNG'], ['피식/MAG'], ['하/VV', 'ㄴ다/ECS', ']/SS'], ['아이/VV', '고/ECE']]","[['SS'], ['NNG'], ['MAG'], ['VV', 'ECS', 'SS'], ['VV', 'ECE']]"
347,00:26:48.023,"[['(/SS'], ['남자/NNG'], ['2/NR', ')/SS'], ['[/SS'], ['울먹이/VV', '며/ECE', ']/SS'], ['나리/NNG']]","[['SS'], ['NNG'], ['NR', 'SS'], ['SS'], ['VV', 'ECE', 'SS'], ['NNG']]"
348,00:26:54.904,"[['너무나/MAG'], ['늦/VA', '게/ECD'], ['오/VV', '아/ECS'], ['송구/NNG', '하/XSV', 'ㅂ니다/EFN']]","[['MAG'], ['VA', 'ECD'], ['VV', 'ECS'], ['NNG', 'XSV', 'EFN']]"
349,00:27:00.368,"[['소인/NNG'], ['몇/MDT'], ['해/NNG'], ['앓/VV', '았/EPT', '습니다/EFN']]","[['NNG'], ['MDT'], ['NNG'], ['VV', 'EPT', 'EFN']]"
350,00:27:05.749,"[['[/SS'], ['힘겹/VA', 'ㄴ/ETD'], ['숨소리/NNG', ']/SS']]","[['SS'], ['VA', 'ETD'], ['NNG', 'SS']]"
351,00:27:09.002,"[['저/NP', '는/JX'], ['이제/MAG']]","[['NP', 'JX'], ['MAG']]"
352,00:27:13.506,"[['갈/VV', 'ㄹ/ETD'], ['모양/NNG', '이/VCP', 'ㅂ니다/EFN']]","[['VV', 'ETD'], ['NNG', 'VCP', 'EFN']]"
353,00:27:16.426,"[['이제/MAG'], ['부/XPN', '터/NNG', '는/JX']]","[['MAG'], ['XPN', 'NNG', 'JX']]"
354,00:27:19.095,"[['이/MDT'], ['아이/NNG', '가/JKS'], ['나리/NNG', '를/JKO'], ['뫼시/VV', 'ㄹ/ETD'], ['것/NNB', '이/VCP', 'ㅂ니다/EFN']]","[['MDT'], ['NNG', 'JKS'], ['NNG', 'JKO'], ['VV', 'ETD'], ['NNB', 'VCP', 'EFN']]"
355,00:27:25.185,"[['손주/NNG'], ['놈/NNB', '이/VCP', 'ㅂ니다/EFN']]","[['NNG'], ['NNB', 'VCP', 'EFN']]"
356,00:27:27.604,"[['이/MDT'], ['칼/NNG', '이/JKS'], ['나리/NNG'], ['예/NNG', '요/JX', ',/SP'], ['할아버지/NNG', '?/SF']]","[['MDT'], ['NNG', 'JKS'], ['NNG'], ['NNG', 'JX', 'SP'], ['NNG', 'SF']]"
357,00:27:31.441,"[['[/SS'], ['긴장/NNG', '되/XSV', '는/ETD'], ['음악/NNG', ']/SS']]","[['SS'], ['NNG', 'XSV', 'ETD'], ['NNG', 'SS']]"
358,00:27:37.072,"[['[/SS'], ['천/NNG', '둥이/XSN'], ['콰르릉/MAG'], ['치/VV', 'ㄴ다/ECS', ']/SS']]","[['SS'], ['NNG', 'XSN'], ['MAG'], ['VV', 'ECS', 'SS']]"
359,00:27:39.366,"[['[/SS'], ['천/NNG', '둥이/XSN'], ['콰르릉/MAG'], ['치/VV', 'ㄴ다/ECS', ']/SS']]","[['SS'], ['NNG', 'XSN'], ['MAG'], ['VV', 'ECS', 'SS']]"
360,00:27:40.533,"[['(/SS'], ['신/NNG', ')/SS'], ['너/NP', '의/JKG'], ['백성/NNG', '의/JKG'], ['염원/NNG', '이/JKS'], ['널/NNG'], ['살리/VV', '는구나/EFI']]","[['SS'], ['NNG', 'SS'], ['NP', 'JKG'], ['NNG', 'JKG'], ['NNG', 'JKS'], ['NNG'], ['VV', 'EFI']]"
361,00:27:45.580,"[['[/SS'], ['천/NNG', '둥이/XSN'], ['콰르릉/MAG'], ['치/VV', 'ㄴ다/ECS', ']/SS'], ['[/SS'], ['의미심장/XR', '하/XSA', 'ㄴ/ETD'], ['음악/NNG', ']/SS']]","[['SS'], ['NNG', 'XSN'], ['MAG'], ['VV', 'ECS', 'SS'], ['SS'], ['XR', 'XSA', 'ETD'], ['NNG', 'SS']]"
362,00:27:50.085,"[['(/SS'], ['신/NNG', ')/SS'], ['하나/NNG'], ['너/NP', '의/JKG'], ['검/NNG', '에/JKM', '는/JX'], ['수천/NNG', '의/JKG'], ['피/NNG', '가/JKS'], ['묻/VV', '었/EPT', '다/EFN']]","[['SS'], ['NNG', 'SS'], ['NNG'], ['NP', 'JKG'], ['NNG', 'JKM', 'JX'], ['NNG', 'JKG'], ['NNG', 'JKS'], ['VV', 'EPT', 'EFN']]"
363,00:27:56.716,"[['너/NP', '에게/JKM', '는/JX'], ['적이/VV', '었/EPT', '으나/ECE']]","[['NP', 'JKM', 'JX'], ['VV', 'EPT', 'ECE']]"
364,00:27:58.635,"[['그/NP'], ['또한/MAG'], ['신/NNG', '의/JKG'], ['피조물/NNG'], ['[/SS'], ['병사/NNG', '들/XSN', '의/JKG'], ['함성/NNG', ']/SS']]","[['NP'], ['MAG'], ['NNG', 'JKG'], ['NNG'], ['SS'], ['NNG', 'XSN', 'JKG'], ['NNG', 'SS']]"
365,00:28:02.097,"[['홀로/MAG'], ['불멸/NNG', '을/JKO'], ['살/VV', '며/ECE']]","[['MAG'], ['NNG', 'JKO'], ['VV', 'ECE']]"
366,00:28:04.391,"[['사랑/NNG', '하/XSV', '는/ETD'], ['이/NNG', '들/XSN', '의/JKG'], ['죽음/NNG', '을/JKO'], ['지켜보/VV', '아라/EFO']]","[['NNG', 'XSV', 'ETD'], ['NNG', 'XSN', 'JKG'], ['NNG', 'JKO'], ['VV', 'EFO']]"
367,00:28:07.560,"[['그/MDT'], ['어떤/MDT'], ['죽음/NNG', '도/JX'], ['잊히/VV', '지/ECD'], ['않/VXV', '으리라/EFN']]","[['MDT'], ['MDT'], ['NNG', 'JX'], ['VV', 'ECD'], ['VXV', 'EFN']]"
368,00:28:12.857,"[['나/NP', '가/JKS'], ['내리/VV', '는/ETD'], ['상/NNG', '이/JKS'], ['자/VV', '아/ECS'], ['그대/NP', '가/JKS'], ['받/VV', '는/ETD'], ['벌이/VV', '다/EFN']]","[['NP', 'JKS'], ['VV', 'ETD'], ['NNG', 'JKS'], ['VV', 'ECS'], ['NP', 'JKS'], ['VV', 'ETD'], ['VV', 'EFN']]"
369,00:28:23.076,"[['오직/MAG'], ['도깨비/NNG'], ['신부/NNG'], ['만이/NNG'], ['그/MDT'], ['검/NNG', '을/JKO'], ['뽑/VV', '을/ETD'], ['것/NNB', '이/VCP', '다/EFN']]","[['MAG'], ['NNG'], ['NNG'], ['NNG'], ['MDT'], ['NNG', 'JKO'], ['VV', 'ETD'], ['NNB', 'VCP', 'EFN']]"
370,00:28:28.832,"[['검/NNG', '을/JKO'], ['뽑/VV', '으면/ECD']]","[['NNG', 'JKO'], ['VV', 'ECD']]"
371,00:28:30.542,"[['무/NNG', '로/JKM'], ['돌아가/VV'], ['평안하리라/UN']]","[['NNG', 'JKM'], ['VV'], ['UN']]"
372,00:28:33.044,"[['[/SS'], ['천/NNG', '둥이/XSN'], ['콰르릉/MAG'], ['치/VV', 'ㄴ다/ECS', ']/SS']]","[['SS'], ['NNG', 'XSN'], ['MAG'], ['VV', 'ECS', 'SS']]"
373,00:28:39.426,"[['(/SS'], ['남자/NNG'], ['2/NR', ')/SS'], ['나리/NNG']]","[['SS'], ['NNG'], ['NR', 'SS'], ['NNG']]"
374,00:28:44.055,"[['다녀오/VV', 'ㄹ/ETD'], ['곳/NNG', '이/JKS'], ['있/VXV', '다/EFN']]","[['VV', 'ETD'], ['NNG', 'JKS'], ['VXV', 'EFN']]"
375,00:28:53.523,"[['[/SS'], ['중허/VA', 'ㄴ/ETD'], ['이/NNB'], ['속삭이/VV', 'ㄴ다/ECS', ']/SS']]","[['SS'], ['VA', 'ETD'], ['NNB'], ['VV', 'ECS', 'SS']]"
376,00:29:00.447,"[['[/SS'], ['무겁/VA', 'ㄴ/ETD'], ['음악/NNG', ']/SS'], ['무엄/XR', '하/XSA', '다/EFN', '!/SF']]","[['SS'], ['VA', 'ETD'], ['NNG', 'SS'], ['XR', 'XSA', 'EFN', 'SF']]"
377,00:29:01.865,"[['(/SS'], ['신하/NNG', ')/SS'], ['대/NNG'], ['관절/NNG'], ['뭐/NP'], ['하/VV', '는/ETD'], ['자/NNB', '이/VCP', 'ㄴ데/ECE']]","[['SS'], ['NNG', 'SS'], ['NNG'], ['NNG'], ['NP'], ['VV', 'ETD'], ['NNB', 'VCP', 'ECE']]"
378,00:29:03.324,"[['이리/NNG', '도/JX'], ['불경/NNG', '스럽/XSA', 'ㄴ/ETD'], ['기운/NNG', '을/JKO'], ['내뿜/VV', '는/ETD'], ['것/NNB', '이/VCP', '야/EFN', '!/SF']]","[['NNG', 'JX'], ['NNG', 'XSA', 'ETD'], ['NNG', 'JKO'], ['VV', 'ETD'], ['NNB', 'VCP', 'EFN', 'SF']]"
379,00:29:07.662,"[['어/VV', '어/ECS'], ['허/NNG', ',/SP'], ['이놈/NP', '이/JKS'], ['그리하/VV', '여도/ECD', '.../SE']]","[['VV', 'ECS'], ['NNG', 'SP'], ['NP', 'JKS'], ['VV', 'ECD', 'SE']]"
380,00:29:12.542,"[['[/SS'], ['신하/NNG', '가/JKS'], ['털썩/MAG'], ['떨어지/VV', 'ㄴ다/ECS', ']/SS']]","[['SS'], ['NNG', 'JKS'], ['MAG'], ['VV', 'ECS', 'SS']]"
381,00:29:18.548,"[['느/VV', '어/ECS', ',/SP'], ['너/NP', '는/JX', '.../SE']]","[['VV', 'ECS', 'SP'], ['NP', 'JX', 'SE']]"
382,00:29:21.468,"[['[/SS'], ['우두둑/MAG'], ['소리/NNG', '가/JKS'], ['나/VV', 'ㄴ다/ECS', ']/SS'], ['[/SS'], ['중/NNG'], ['헌의/NNG'], ['힘겹/VA', 'ㄴ/ETD'], ['신음/NNG', ']/SS']]","[['SS'], ['MAG'], ['NNG', 'JKS'], ['VV', 'ECS', 'SS'], ['SS'], ['NNG'], ['NNG'], ['VA', 'ETD'], ['NNG', 'SS']]"
383,00:29:26.514,"[['[/SS'], ['힘겹/VA', 'ㄴ/ETD'], ['신음/NNG', ']/SS']]","[['SS'], ['VA', 'ETD'], ['NNG', 'SS']]"
384,00:29:45.533,[['내가/VV']],[['VV']]
385,00:29:49.329,"[['늦/VA', '었/EPT', '구나/EFI']]","[['VA', 'EPT', 'EFI']]"
386,00:29:51.998,"[['[/SS'], ['애/NNG'], ['잔한/NNG'], ['음악/NNG', ']/SS']]","[['SS'], ['NNG'], ['NNG'], ['NNG', 'SS']]"
387,00:29:56.169,"[['[/SS'], ['아이/NNG'], ['2/NR', '의/JKG'], ['울음/NNG', ']/SS']]","[['SS'], ['NNG'], ['NR', 'JKG'], ['NNG', 'SS']]"
388,00:29:59.214,"[['(/SS'], ['아이/NNG'], ['2/NR', ')/SS'], ['[/SS'], ['흐/MAG'], ['느끼/VV', '며/ECE', ']/SS'], ['할아버지/NNG']]","[['SS'], ['NNG'], ['NR', 'SS'], ['SS'], ['MAG'], ['VV', 'ECE', 'SS'], ['NNG']]"
389,00:30:05.887,[['할아버지/NNG']],[['NNG']]
390,00:30:09.849,"[['[/SS'], ['아이/NNG'], ['2/NR', '가/JKS'], ['서럽/VA', '게/ECD'], ['울/VV', 'ㄴ다/ECS', ']/SS']]","[['SS'], ['NNG'], ['NR', 'JKS'], ['VA', 'ECD'], ['VV', 'ECS', 'SS']]"
391,00:30:19.025,"[['[/SS'], ['아이/NNG'], ['2/NR', '가/JKS'], ['훌쩍이/VV', 'ㄴ다/ECS', ']/SS']]","[['SS'], ['NNG'], ['NR', 'JKS'], ['VV', 'ECS', 'SS']]"
392,00:30:27.200,"[['(/SS'], ['김/NNG'], ['신/NNG', ')/SS'], ['자네/NP', '가/JKS']]","[['SS'], ['NNG'], ['NNG', 'SS'], ['NP', 'JKS']]"
393,00:30:32.121,"[['내가/NNG'], ['받/VV', '는/ETD'], ['첫/MDT'], ['번째/NNB'], ['벌이/VV', 'ㄴ/ETD'], ['모양/NNG', '이/VCP', '다/EFN']]","[['NNG'], ['VV', 'ETD'], ['MDT'], ['NNB'], ['VV', 'ETD'], ['NNG', 'VCP', 'EFN']]"
394,00:30:37.126,[['절/NNG']],[['NNG']]
395,00:30:39.295,"[['(/SS'], ['아이/NNG'], ['2/NR', ')/SS'], ['받/VV', '으시/EPH', 'ㅂ시오/EFN']]","[['SS'], ['NNG'], ['NR', 'SS'], ['VV', 'EPH', 'EFN']]"
396,00:30:52.725,"[['이제/NNG', '부터/JX']]","[['NNG', 'JX']]"
397,00:30:54.561,"[['제가/NNG'], ['모시/VV', '겠/EPT', '습니다/EFN']]","[['NNG'], ['VV', 'EPT', 'EFN']]"
398,00:30:57.814,"[['할아버지/NNG'], ['유언/NNG', '이/VCP', '시/EPH', '었/EPT', '습니다/EFN']]","[['NNG'], ['NNG', 'VCP', 'EPH', 'EPT', 'EFN']]"
