chunckID,start_time,subtitles
70,00:04:42.031,"['그래서 갈비뼈 부러뜨려 줬잖아\n', '\n']"
71,00:04:43.825,"['(남자1)\n', '[영어]\n', '너 이 자식!\n', '\n']"
72,00:04:46.494,"['[남자1의 놀라는 신음]\n', '[남자1이 털썩 넘어진다]\n', '\n']"
73,00:04:49.580,"['[남자1의 힘겨운 신음]\n', '\n']"
74,00:04:53.710,"['(김신)\n', '[한국어]\n', '이건 도시락, 얘기 끝나면 학교 가\n', '\n']"
75,00:04:55.920,"['수학 문제 17번 답은 2가 아니라 4야\n', '\n']"
76,00:04:58.006,"['[남자1의 힘겨운 신음]\n', '그거 하나 틀리길래\n', '\n']"
77,00:04:59.674,"['당신 대체 누구야?\n', '\n']"
78,00:05:03.469,"['[김신이 아이1의 어깨를 툭 친다]\n', '\n']"
79,00:05:13.896,"['[천둥이 콰르릉 친다]\n', '\n']"
80,00:05:17.984,"['(김신)\n', '그는 물이고 불이고 바람이며\n', '\n']"
81,00:05:22.697,"['[무거운 음악]\n', '빛이자 어둠이다\n', '\n']"
82,00:05:26.075,"['그리고 한때\n', '\n']"
83,00:05:27.118,"['[날카로운 효과음]\n', '\n']"
84,00:05:29.078,"['[김신의 힘겨운 신음]\n', '\n']"
85,00:05:31.581,"['[김신의 거친 숨소리]\n', '\n']"
86,00:05:34.625,"['인간이었다\n', '\n']"
87,00:05:36.961,"['[소란스럽게 싸운다]\n', '\n']"
88,00:05:41.174,"['[거친 숨소리]\n', '\n']"
89,00:05:44.552,"['[전장이 소란스럽다]\n', '[말 울음]\n', '\n']"
90,00:05:51.642,"['[말 울음]\n', '\n']"
91,00:05:55.188,"['[김신의 힘주는 신음]\n', '\n']"
92,00:05:59.942,"['[말발굽 소리가 들려온다]\n', '\n']"
93,00:06:02.653,"['(김신)\n', '백성들은 그를\n', '\n']"
94,00:06:05.281,"['신이라 불렀다\n', '\n']"
95,00:06:12.038,"['시뻘건 피를 뒤집어쓴 채\n', '적을 베고 나아가는\n', '\n']"
96,00:06:19.796,"['[병사들의 함성]\n', '그는 문자 그대로의 무신이었다\n', '\n']"
97,00:06:22.256,"['[긴장되는 음악]\n', '[소란스럽게 싸운다]\n', '\n']"
98,00:06:27.053,"['[적군1의 기합]\n', '\n']"
99,00:06:28.846,"['[적군2의 신음]\n', '\n']"
100,00:06:32.100,"['[말 울음]\n', '[적군3의 기합]\n', '\n']"
101,00:06:34.560,"['[적군3의 신음]\n', '\n']"
102,00:06:36.813,"['[적군4의 기합]\n', '\n']"
103,00:06:38.606,"['[적군4의 신음]\n', '\n']"
104,00:06:49.450,"['[적군5의 기합]\n', '\n']"
105,00:06:52.995,"['[적군5의 신음]\n', '\n']"
106,00:06:56.499,"['[김신의 힘주는 신음]\n', '\n']"
107,00:06:58.459,"['[말 울음]\n', '\n']"
108,00:07:04.632,"['[말 울음]\n', '[김신의 신음]\n', '\n']"
109,00:07:06.551,"['[적군6의 기합]\n', '[김신의 기합]\n', '\n']"
110,00:07:08.052,"['[적군6의 신음]\n', '\n']"
111,00:07:11.097,"['[적군7의 기합]\n', '[김신의 힘주는 신음]\n', '\n']"
112,00:07:12.807,"['[적군7의 신음]\n', '\n']"
113,00:07:17.812,"['[김신의 힘주는 신음]\n', '\n']"
114,00:07:24.986,"['[긴장되는 효과음]\n', '[비장한 음악]\n', '\n']"
115,00:07:27.697,"['[김신의 힘주는 신음]\n', '\n']"
116,00:07:40.084,"['[소란스럽게 싸운다]\n', '\n']"
117,00:07:59.061,"['[김신의 기합]\n', '[말 울음]\n', '\n']"
118,00:08:04.901,"['[적장의 다급한 신음]\n', '\n']"
119,00:08:09.530,"['[바람이 휭 분다]\n', '\n']"
120,00:08:16.913,"['[긴장되는 효과음]\n', '\n']"
121,00:08:20.249,"['[털썩 쓰러지는 소리가 들린다]\n', '\n']"
122,00:08:28.299,"['[웅장한 음악]\n', '\n']"
123,00:08:31.344,"['(백성들)\n', '김신 장군 만세!\n', '\n']"
124,00:08:34.055,"['[백성들의 환호]\n', '\n']"
125,00:08:39.560,"['(백성1)\n', '상장군 만세!\n', '\n']"
126,00:08:41.604,"['(백성들)\n', '상장군 만세!\n', '\n']"
127,00:08:44.815,"['[백성들의 환호]\n', '\n']"
128,00:08:56.077,"['(부하)\n', '문을 열어라!\n', '\n']"
129,00:08:57.828,"['개선장군 김신 장군이시다!\n', '\n']"
130,00:09:00.790,"['[부하의 웃음]\n', '\n']"
131,00:09:01.791,"['김신은 군장을 풀고 어명을 받들라\n', '\n']"
132,00:09:07.129,"['(부하)\n', '네 이놈!\n', '\n']"
133,00:09:09.006,"['다시 지껄여 보아라\n', '\n']"
134,00:09:10.424,"['정칠품 별장 놈이\n', '\n']"
135,00:09:12.260,"['감히 상장군의 존명을...\n', '\n']"
136,00:09:13.636,"['귀환군의 반주 김신은!\n', '\n']"
137,00:09:15.263,"['[긴장되는 음악]\n', '\n']"
138,00:09:16.222,"['- (군사1) 군장을 풀고\n', '- (부하) 정녕...\n', '\n']"
139,00:09:20.101,"['들었다\n', '\n']"
140,00:09:21.727,"['기다려라\n', '\n']"
141,00:09:36.409,"['되었느냐?\n', '\n']"
142,00:09:38.286,"['대역죄인 김신은\n', '\n']"
143,00:09:39.996,"['(군사1)\n', '검을 물고 무릎을 꿇고 어명을 받들라\n', '\n']"
144,00:09:42.707,"['혀를 뽑아 버릴라!\n', '\n']"
145,00:09:44.625,"['(부하)\n', '대역죄인이라니\n', '\n']"
146,00:09:46.294,"['미쳤느냐? 돌았느냐?\n', '\n']"
147,00:09:51.090,"['[사람들이 웅성거린다]\n', '[부하의 성난 숨소리]\n', '\n']"
148,00:09:58.556,"['장군\n', '\n']"
149,00:09:59.599,"['(군사1)\n', '대역죄인 김신은\n', '검을 물고 무릎을 꿇고...\n', '\n']"
150,00:10:04.061,"['[무거운 음악]\n', '\n']"
151,00:10:06.981,"['폐하를 뵙겠다, 길을 터라\n', '\n']"
152,00:10:09.900,"['- 죄인 김신은...\n', '- 막아서면 반드시 죽을 것이다\n', '\n']"
153,00:10:13.446,"['(김신)\n', '길을 터라\n', '\n']"
154,00:10:15.489,"['[화살이 휙 날아온다]\n', '[병사의 신음]\n', '\n']"
155,00:10:16.574,"['[화살이 빗발친다]\n', '[사람들의 비명]\n', '\n']"
156,00:10:24.165,"['[병사들의 신음]\n', '\n']"
157,00:10:29.211,"['(백성2)\n', '살려 주세요, 살려 주세요\n', '\n']"
158,00:10:33.174,"['(백성2)\n', '살려 주세요\n', '\n']"
159,00:10:34.634,"['[백성들의 비명]\n', '\n']"
160,00:10:35.801,"['[부하가 소리친다]\n', '\n']"
161,00:10:37.136,"['(부하)\n', '네 이놈들!\n', '\n']"
162,00:10:39.013,"['오직 주군의 이름으로\n', '사흘 밤낮을 싸웠다\n', '\n']"
163,00:10:42.725,"['그 생지옥에서\n', '살아 돌아오는 길이란 말이다\n', '\n']"
164,00:10:45.936,"['한데 네놈들이, 감히 네놈들이!\n', '\n']"
165,00:10:50.274,"['(중헌)\n', '성문을 열어라!\n', '\n']"
166,00:11:00.034,"['[성문이 탁 열린다]\n', '\n']"
167,00:11:01.118,"['이들 곁을 지켜라\n', '\n']"
168,00:11:04.163,"['금방 다녀오마\n', '\n']"
169,00:11:38.823,"['백성 위의 왕, 왕 위의 신\n', '\n']"
170,00:11:42.660,"['그 신이 김신을 일컫는다 합니다\n', '\n']"
171,00:11:48.666,"['[무거운 음악]\n', '\n']"
172,00:11:53.504,"['(중헌)\n', '저자의 끝없는 승전보가\n', '백성을 현혹하고\n', '\n']"
173,00:11:56.757,"['저자의 권세가 거듭 왕실을 조롱하니\n', '\n']"
174,00:12:00.261,"['국법으로 엄히 다스리시옵소서\n', '\n']"
175,00:12:07.476,"['(김신)\n', '그는 적의 칼날은 정확하게 보았지만\n', '\n']"
176,00:12:12.189,"['자신을 향한 어린 왕의\n', '질투와 두려움은 보지 못했다\n', '\n']"
177,00:12:18.696,"['그것이\n', '\n']"
178,00:12:21.449,"['자신에게 겨눠진\n', '가장 날카로운 칼날이었음을\n', '\n']"
179,00:12:27.705,"['그는 알지 못했다\n', '\n']"
180,00:12:36.964,"['정녕 이렇게까지 하시는 겁니까?\n', '\n']"
181,00:12:39.008,"['(어린 왕여)\n', '그러니 더는 오지 마라, 멈추어라\n', '\n']"
182,00:12:42.136,"['그게 뭐든 멈추어라\n', '\n']"
183,00:12:45.181,"['그 자리에 멈춰 역적으로 죽어라\n', '\n']"
184,00:12:47.349,"['그럼 너를 뺀 모두를 살릴 것이다\n', '\n']"
185,00:12:49.727,"['하나 단 한 걸음이라도 더 다가온다면\n', '\n']"
186,00:12:52.897,"['네놈의 걸음 하나, 시선 한 번에\n', '\n']"
187,00:12:54.899,"['모두를 죽여\n', '네놈 발치에 깔아 줄 것이다\n', '\n']"
188,00:12:58.861,"['[한숨]\n', '\n']"
189,00:13:01.280,"['가세요, 장군\n', '\n']"
190,00:13:05.826,"['저는\n', '\n']"
191,00:13:08.704,"['괜찮습니다\n', '\n']"
192,00:13:12.416,"['저는\n', '\n']"
193,00:13:16.128,"['- 마마, 저는...\n', '- 압니다\n', '\n']"
194,00:13:20.132,"['진정 다 압니다\n', '\n']"
195,00:13:22.760,"['혹여 이게 마지막이면\n', '이 또한 제 운명인 겁니다\n', '\n']"
196,00:13:29.225,"['그러니 가세요\n', '\n']"
197,00:13:31.060,"['(김선)\n', '멈추지 말고 폐하께 가세요, 장군\n', '\n']"
198,00:13:58.420,"['역모다\n', '\n']"
199,00:13:59.463,"['(어린 왕여)\n', '저 집안의 그 누구의 숨도\n', '붙여 두지 말라\n', '\n']"
200,00:14:01.799,"['어명이다!\n', '\n']"
201,00:14:02.967,"['[화살이 휙 날아온다]\n', '\n']"
202,00:14:13.143,"['[김선이 털썩 쓰러진다]\n', '\n']"
203,00:14:32.162,"['[군사들이 칼로 쓱 벤다]\n', '\n']"
204,00:14:49.930,"['(중헌)\n', '멈추어라!\n', '\n']"
205,00:14:55.477,"['뭣들 하느냐, 죄인을 꿇려라!\n', '\n']"
206,00:14:59.273,"['[군사2의 기합]\n', '[날카로운 효과음]\n', '\n']"
207,00:15:00.399,"['[긴장되는 음악]\n', '\n']"
208,00:15:01.942,"['[김신의 신음]\n', '\n']"
209,00:15:05.195,"['[거친 숨소리]\n', '\n']"
210,00:15:07.615,"['[부하의 다급한 숨소리]\n', '\n']"
211,00:15:08.741,"['(부하)\n', '장군!\n', '\n']"
212,00:15:10.409,"['[부하의 가쁜 숨소리]\n', '\n']"
213,00:15:14.997,"['폐하, 어찌 이러십니까?\n', '\n']"
214,00:15:18.250,"['하늘이 두렵지 않으십니까!\n', '\n']"
215,00:15:21.003,"['하늘이 언제 네놈들 편을 들겠다더냐?\n', '\n']"
216,00:15:24.882,"['(중헌)\n', '죄인의 눈빛이 형형하니\n', '어심이 어지럽다\n', '\n']"
217,00:15:28.636,"['반드시 참하라!\n', '\n']"
218,00:15:32.514,"['[군사2의 기합]\n', '\n']"
219,00:15:34.183,"['[군사2의 신음]\n', '\n']"
220,00:15:40.564,"['그대의 일이 아니다\n', '\n']"
221,00:15:42.358,"['(부하)\n', '장군, 장군, 장군, 장군\n', '\n']"
222,00:15:45.736,"['[부하의 가쁜 숨소리]\n', '\n']"
223,00:15:48.822,"['마지막을\n', '\n']"
224,00:15:51.492,"['자네에게 부탁하고 싶은데\n', '\n']"
225,00:15:53.869,"['[부하의 놀라는 숨소리]\n', '\n']"
226,00:15:55.204,"['[부하의 울먹이는 신음]\n', '\n']"
227,00:16:05.506,"['[무거운 음악]\n', '[부하가 흐느낀다]\n', '\n']"
228,00:16:11.136,"['[울먹이며]\n', '상장군의 명을 받듭니다\n', '\n']"
229,00:16:17.434,"['[부하가 계속 흐느낀다]\n', '\n']"
230,00:16:24.858,"['용서하십시오\n', '\n']"
231,00:16:27.236,"['[부하의 떨리는 숨소리]\n', '\n']"
232,00:16:29.488,"['(부하)\n', '곧 따라가 뵙겠습니다\n', '\n']"
233,00:16:33.617,"['[부하의 기합]\n', '[부하가 칼로 푹 찌른다]\n', '\n']"
234,00:16:35.577,"['[김신의 힘겨운 신음]\n', '\n']"
235,00:16:36.578,"['[부하의 울음]\n', '\n']"
236,00:16:46.839,"['[군사2의 기합]\n', '[군사2가 칼로 쓱 벤다]\n', '\n']"
237,00:16:52.845,"['(중헌)\n', '그 누구도 반역 죄인의 시신을\n', '수습하지 말라\n', '\n']"
238,00:16:57.224,"['들판에 버려두어\n', '들짐승과 날짐승의 먹이로 두라\n', '\n']"
239,00:17:00.769,"['[애잔한 음악]\n', '[흐느낀다]\n', '\n']"
240,00:17:01.854,"['금수의 허기를 달래는\n', '\n']"
241,00:17:04.606,"['딱 그 정도가 저자의 가치다\n', '\n']"
242,00:17:09.403,"['어명이다!\n', '\n']"
243,00:17:13.449,"['[무거운 효과음]\n', '\n']"
244,00:17:58.994,"['[사람들이 울부짖는다]\n', '\n']"
245,00:18:01.997,"['(남자2)\n', '천신님, 우리 장군님, 우리 장군님...\n', '\n']"
246,00:18:05.667,"['[사람들이 흐느낀다]\n', '\n']"
247,00:18:08.504,"['[남자2가 신께 빈다]\n', '\n']"
248,00:18:09.797,"['[까마귀가 깍깍 운다]\n', '\n']"
249,00:18:19.640,"['[사람들이 울부짖는다]\n', '\n']"
250,00:18:29.733,"['(김신)\n', '그 누구에게도 빌지 마라\n', '\n']"
251,00:18:34.404,"['신은 듣고 있지 않으니\n', '\n']"
252,00:18:38.951,"['하루 중 가장 화창한 오시\n', '\n']"
253,00:18:44.748,"['그는 자신이 지키던\n', '주군의 칼날에 죽었다\n', '\n']"
254,00:18:50.921,"['[피가 뚝뚝 떨어진다]\n', '\n']"
255,00:18:58.554,"['[긴장되는 효과음]\n', '\n']"
